timestamp,epoch,train_mae,val_mae,test_mae,epoch_time_sec,learning_rate,is_best
2025-10-05 01:30:25,71,2.7894989,0.4537918,0.4965678,449.39,0.00007644,False
2025-10-05 01:37:53,72,2.8045608,0.3982335,0.4965678,448.27,0.00007615,False
2025-10-05 01:45:21,73,2.7886034,0.4097100,0.4965678,448.01,0.00007586,False
2025-10-05 01:52:49,74,2.7890070,0.4097250,0.4965678,448.00,0.00007557,False
2025-10-05 02:00:17,75,2.7933123,0.4425280,0.4965678,448.39,0.00007528,False
2025-10-05 02:07:46,76,2.7768523,0.4352948,0.4965678,448.79,0.00007499,False
2025-10-05 02:15:15,77,2.7738823,0.3965211,0.4965678,448.32,0.00007470,False
2025-10-05 02:22:43,78,2.7717621,0.4284882,0.4965678,448.38,0.00007442,False
2025-10-05 02:30:31,79,2.7801780,0.3727742,0.3339610,449.31,0.00007413,True
2025-10-05 02:38:00,80,2.7845346,0.4225233,0.3339610,448.83,0.00007385,False
2025-10-05 02:45:27,81,2.7700265,0.3929544,0.3339610,446.79,0.00007356,False
2025-10-05 02:52:54,82,2.7676808,0.3940021,0.3339610,446.99,0.00007328,False
2025-10-05 03:01:14,83,2.7894899,0.3649779,0.4525193,480.99,0.00007300,True
